Year,Early,Election Day,Mail,Total,pct_early,pct_election_day,pct_mail,EarlyPercentage
2018,659669,1482029,162814,2304512,28.62510587924906,64.3098842618307,7.065009858920241,28.62510587924906
2020,983985,437126,1502986,3037030,32.39958116976125,14.393206520844378,49.48867808352239,32.39958116976125
2022,378551,1037176,338748,1754475,21.57631200216589,59.11603186138304,19.307656136451076,21.57631200216589
