zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
21704,1240,58343.60999999997,21704,B01003_001,18473,1181,67.1249932333676
21705,33,1493.22,21705,B01003_001,5,8,6600
21710,301,13761.380000000008,21710,B01003_001,4988,719,60.3448275862069
21711,27,898.0700000000002,21711,B01003_001,864,249,31.25
21713,1288,40229.73999999996,21713,B01003_001,9999,740,128.8128812881288
21714,12,290.82000000000005,21714,B01003_001,272,174,44.11764705882353
21715,22,502.48,21715,B01003_001,12,22,1833.3333333333333
21716,540,16379.819999999992,21716,B01003_001,6630,344,81.44796380090499
21717,54,1939.79,21717,B01003_001,209,158,258.3732057416268
21718,6,494.52,21718,B01003_001,143,42,41.95804195804196
21719,58,2473.4699999999993,21719,B01003_001,1145,252,50.65502183406113
21722,317,9866.599999999997,21722,B01003_001,6709,1209,47.24996273662245
21723,215,3686.479999999998,21723,B01003_001,689,207,312.04644412191584
21727,756,28446.509999999995,21727,B01003_001,6588,422,114.75409836065575
21733,22,980.28,21733,B01003_001,1202,437,18.302828618968388
21734,64,1267.72,21734,B01003_001,861,226,74.3321718931475
21737,149,9376.609999999995,21737,B01003_001,2406,638,61.92851205320033
21738,1641,31309.770000000022,21738,B01003_001,3786,551,433.43898573692553
21740,41865,136944.65000000247,21740,B01003_001,62760,1925,667.0650095602294
21742,5487,163741.37000000075,21742,B01003_001,34549,1599,158.81791079336594
21746,9,552.02,21746,B01003_001,2613,675,3.4443168771526977
21750,165,5061.7199999999975,21750,B01003_001,3613,508,45.668419595903686
21754,1220,39970.79999999996,21754,B01003_001,7260,804,168.04407713498622
21755,504,21364.609999999982,21755,B01003_001,5706,642,88.32807570977918
21756,336,22238.630000000005,21756,B01003_001,3303,567,101.72570390554043
21757,196,10792.840000000004,21757,B01003_001,2722,484,72.00587803085966
21758,1294,30557.549999999916,21758,B01003_001,4610,740,280.6941431670282
21762,53,2202.48,21762,B01003_001,176,184,301.1363636363636
21766,177,1711.669999999999,21766,B01003_001,544,177,325.36764705882354
21767,271,2927.9700000000003,21767,B01003_001,873,322,310.4238258877434
21769,1570,39481.69999999997,21769,B01003_001,12562,852,124.98009871039643
21770,723,20556.359999999997,21770,B01003_001,7786,1211,92.85897765219624
21771,6746,150894.49000000267,21771,B01003_001,31653,2013,213.12355858844342
21773,402,13039.27,21773,B01003_001,5553,623,72.39330091842247
21774,2844,60800.73000000003,21774,B01003_001,15096,1015,188.39427662957075
21776,1147,15895.469999999972,21776,B01003_001,6434,715,178.27168169101648
