zip,donations,total,GEOID,variable,estimate,moe,donations_per_1000
22304,3,60,22304,B01003_001,49711,1818,0.06034881615738971
22306,7,150.72,22306,B01003_001,32842,2326,0.21314170878752814
22307,2,3000,22307,B01003_001,10202,1026,0.19603999215840032
22310,9,95,22310,B01003_001,29788,1446,0.30213508795488114
22311,3,505,22311,B01003_001,19531,1427,0.15360196610516613
22314,3,62,22314,B01003_001,35577,1285,0.08432414200185513
22315,3,17,22315,B01003_001,29358,1744,0.10218679746576742
22401,20,409,22401,B01003_001,28218,41,0.70876745339854
22407,2,7,22407,B01003_001,62301,1761,0.03210221344761721
22551,2,55,22551,B01003_001,22035,1477,0.09076469253460405
22554,2,29,22554,B01003_001,62257,1899,0.0321249016174888
22601,14,226,22601,B01003_001,29306,385,0.4777178734730089
22602,2,29.64,22602,B01003_001,32032,1317,0.06243756243756244
22654,2,1000,22654,B01003_001,1283,385,1.558846453624318
22663,5,35,22663,B01003_001,1076,317,4.646840148698885
22701,1,10,22701,B01003_001,35749,1075,0.027972810428263727
22714,1,250,22714,B01003_001,1034,353,0.9671179883945842
22738,8,193,22738,B01003_001,1106,334,7.2332730560578655
22740,1,48.26,22740,B01003_001,861,315,1.1614401858304297
22801,5,275,22801,B01003_001,39154,1691,0.12770087347397455
22807,2,1100,22807,B01003_001,5601,152,0.35707909301910373
22811,10,500,22811,B01003_001,436,187,22.93577981651376
22815,1,15,22815,B01003_001,8954,571,0.11168192986374804
22842,1,20,22842,B01003_001,5647,623,0.17708517797060386
